,0,1
0,#000000 Ultra Black (Manga),anime_manga_fandoms
1,#DRCL Midnight Children (Manga),anime_manga_fandoms
2,+Anima (Manga),anime_manga_fandoms
3,009-1 (Manga),anime_manga_fandoms
4,07-Ghost,anime_manga_fandoms
5,1 Pound no Fukuin | One-Pound Gospel,anime_manga_fandoms
6,1×1/2-イチトニブンノイチ- | 1 x 1/2 - My Half of You (Manga),anime_manga_fandoms
7,1年A組のモンスター | 1-nen A-gumi no Monster | The monster of 1st grade class A. (Manga),anime_manga_fandoms
8,1/2 Wangzi | 1/2 Prince,anime_manga_fandoms
9,10 Dance (Manga),anime_manga_fandoms
10,100프로의 그녀 | 100 Percent Perfect Girl,anime_manga_fandoms
11,100万の命の上に俺は立っている | I'm Standing on a Million Lives (Anime),anime_manga_fandoms
12,11eyes (Anime),anime_manga_fandoms
13,11th Cat,anime_manga_fandoms
14,11人いる! | They Were Eleven (Manga),anime_manga_fandoms
15,12時の鐘が鳴る | 12-ji no Kane ga Naru | 12 O'Clock Bell Rings (Manga),anime_manga_fandoms
16,12歳。～ちっちゃなムネのトキメキ～ | 12-sai.: Chicchana Mune no Tokimeki (Anime),anime_manga_fandoms
17,14歳の恋 | 14-sai no Koi | Love at Fourteen (Manga),anime_manga_fandoms
18,15 明刹工業高校ラグビー部 | 15 - Meisetsu Kougyou Koukou Rugby Bu,anime_manga_fandoms
19,16bit Sensation: Another Layer (Anime),anime_manga_fandoms
20,18if (Anime),anime_manga_fandoms
21,1999 Nen 7 no Tsuki - Shanghai,anime_manga_fandoms
22,2.43 清陰高校男子バレー部 | 2.43: Seiin Koukou Danshi Volley-bu (Anime),anime_manga_fandoms
23,2.5次元の誘惑 | 2.5-jigen no Ririsa | 2.5 Dimensional Seduction (Anime),anime_manga_fandoms
24,20 Mensou ni Onegai | Man of Many Faces,anime_manga_fandoms
25,20世紀少年 | 20th Century Boys (Manga),anime_manga_fandoms
26,22/7 | ナナブンノニジュウニ | Nanabun no Nijuuni (Anime),anime_manga_fandoms
27,2DK Gペン 目覚まし時計。 | 2DK G Pen Mezamashidokei. | 2DK G-pen Alarm clock. (Manga),anime_manga_fandoms
28,30歳まで童貞でいたら魔法少女になりました | 30-sai made Doutei de Itara Mahou Shoujo ni Narimashita (Manga),anime_manga_fandoms
29,3D彼女リアルガール | 3D Kanojo: Real Girl (Anime),anime_manga_fandoms
30,3x3 Eyes,anime_manga_fandoms
31,4番サード | Yoban Sado (Manga),anime_manga_fandoms
32,秒速5センチメートル | 5 Centimeters per Second (2007),anime_manga_fandoms
33,666 Satan | O-Parts Hunter (Manga),anime_manga_fandoms
34,7 Seeds,anime_manga_fandoms
35,7人のシェイクスピア | 7-nin no Shakespeare | Seven Shakespeares (Manga),anime_manga_fandoms
36,8人の戦士 | 8-nin no Senshi | Dick Fight Island (Manga),anime_manga_fandoms
37,９番目のムサシ | 9 Banme no Musashi | Musashi No. 9,anime_manga_fandoms
38,91 Days (Anime),anime_manga_fandoms
