,0,1
0,"""Mr Rowl"" - D. K. Broster",books_literature_fandoms
1,仙道第一小白脸 - 一十四洲 | The #1 Pretty Boy of the Immortal Path - Yī Shí Sì Zhōu,books_literature_fandoms
2,1-800-WHERE-R-U Series - Meg Cabot,books_literature_fandoms
3,1/2 Wangzi | 1/2 Prince,books_literature_fandoms
4,10 Lb. Penalty - Dick Francis,books_literature_fandoms
5,100 Books that SHOULD be written - Tyler Adam Smith,books_literature_fandoms
6,100 Cupboards Series - N. D. Wilson,books_literature_fandoms
7,100 Percent Wolf - Jayne Lyons,books_literature_fandoms
8,The 100 Series - Kass Morgan,books_literature_fandoms
9,만렙 플레이어의 100번째 회귀 - 킹소다 | The 100th Regression of the Max-Level Player - King Soda (Webnovel),books_literature_fandoms
10,101 Ways to Bug... Series - Lee Wardlaw,books_literature_fandoms
11,1066 and All That - W. C. Sellar & R. J. Yeatman,books_literature_fandoms
12,11/22/63 - Stephen King,books_literature_fandoms
13,12 Miles Below - Mark Arrows,books_literature_fandoms
14,Les 120 journées de Sodome | The 120 Days of Sodom - Marquis de Sade,books_literature_fandoms
15,129 Ways to Get a Husband - McCall's (1958),books_literature_fandoms
16,The 13 Clocks - James Thurber,books_literature_fandoms
17,Thirteen Reasons Why - Jay Asher,books_literature_fandoms
18,13 Treasures Series - Michelle Harrison,books_literature_fandoms
19,13 Ways of Looking at a Blackbird - Wallace Stevens,books_literature_fandoms
20,13 Ways Of Looking at Space Time - Catherynne M. Valente,books_literature_fandoms
21,15 Ways to Stay Alive - Daphne Gottlieb (Poem),books_literature_fandoms
22,1632 Series - Various Authors,books_literature_fandoms
23,17776: What Football Will Look Like in the Future - Jon Bois,books_literature_fandoms
24,1922 - Stephen King,books_literature_fandoms
25,1930来的先生 - 白云诗 | 1930 Lái De Xiānsheng - Bái Yún Shī,books_literature_fandoms
26,1984 - George Orwell,books_literature_fandoms
27,1Q84 - Murakami Haruki,books_literature_fandoms
28,เดือนเกี้ยวเดือน | 2 Moons - Chiffon_Cake,books_literature_fandoms
29,20th Century Ghosts - Joe Hill,books_literature_fandoms
30,The 22 Murders of Madison May - Max Barry,books_literature_fandoms
31,221B - Vincent Starrett,books_literature_fandoms
32,2312 - Kim Stanley Robinson,books_literature_fandoms
33,2666 - Roberto Bolaño,books_literature_fandoms
34,365 Dni | 365 Days Series - Blanka Lipińska,books_literature_fandoms
35,The 39 Clues - Various Authors,books_literature_fandoms
36,3TELO - garekinclong,books_literature_fandoms
37,4:Play: A Contemporary Cocktail of Erotic Short Stories - Jess C Scott,books_literature_fandoms
38,405 - Awakencordy,books_literature_fandoms
39,52Гц - Максим Фальк | 52Hz - Maxim Falk,books_literature_fandoms
40,The 5th Wave Series - Rick Yancey,books_literature_fandoms
41,6 hét a világ - Róbert Katalin,books_literature_fandoms
42,7 rue de Grenelle - Muriel Barbery,books_literature_fandoms
43,ループ7回目の悪役令嬢は 元敵国で自由気ままな花嫁生活を満喫する - 雨川透子 | 7th Time Loop - Amekawa Touko (Light Novel),books_literature_fandoms
44,8-Bit Warrior - Cube Kid,books_literature_fandoms
45,86-エイティシックス- - 安里 アサト | 86 - Asato Asato,books_literature_fandoms
46,87th Precinct - Ed McBain,books_literature_fandoms
47,Воспитание девочки... - Е. Богушева | A girl's education - E. Bogusheva,books_literature_fandoms
48,阿里布達年代祭 - 羅森 | Ā Lǐ Bù Dá Nián Dài Jì - Luó Sēn,books_literature_fandoms
49,A to Z Mysteries - Ron Roy,books_literature_fandoms
50,A Year and A Day in Old Theradane - Scott Lynch,books_literature_fandoms
51,A zori zdes tihie | The Dawns Here Are Quiet - Boris Vasiliev,books_literature_fandoms
52,A-List Series - Zoey Dean,books_literature_fandoms
53,The A. I. Gang - Bruce Coville,books_literature_fandoms
54,A.C.E. Series - Accelerated Christian Education,books_literature_fandoms
55,Aaron Falk - Jane Harper,books_literature_fandoms
56,Aasi Morso ja Mauri Mourunen - Tuula Kallioniemi,books_literature_fandoms
57,Abandon Series - Meg Cabot,books_literature_fandoms
58,버림받은 황비 - 정유나 | The Abandoned Empress - Yuna,books_literature_fandoms
59,Abarat Series - Clive Barker,books_literature_fandoms
60,Abbey Girls - Elsie J. Oxenham,books_literature_fandoms
61,ABC - Lennart Hellsing,books_literature_fandoms
62,Abeille | Honey-Bee - Anatole France,books_literature_fandoms
63,Aberrant Magic Series - Lyn Gala,books_literature_fandoms
64,ABO垂耳执事 - 麟潜 | ABO Chuí Ěr Zhí Shì - Lín Qián,books_literature_fandoms
65,The Abominations of Yondo - Clark Ashton Smith,books_literature_fandoms
66,Abraham Lincoln: Vampire Hunter - Seth Grahame-Smith,books_literature_fandoms
