,0,1
0,& Juliet - Martin/West Read,theater_fandoms
1,10 Ways to Survive Life in a Quarantine - Zolidis,theater_fandoms
2,10 Ways to Survive the Zombie Apocalypse - Zolidis,theater_fandoms
3,100 - The Imaginary Body - Heimann & Monaghan & Petterle,theater_fandoms
4,12 Angry Jurors - Sergel,theater_fandoms
5,13 - Brown/Elish/Horn,theater_fandoms
6,1776 - Edwards/Stone,theater_fandoms
7,1789 - バスティーユの恋人たち | 1789: Les Amants de la Bastille - Takarazuka Revue,theater_fandoms
8,1789: Les Amants de la Bastille - Various Composers/Attia & Chouquet,theater_fandoms
9,2:22 A Ghost Story - Robins,theater_fandoms
10,21 Chump Street - Miranda,theater_fandoms
11,The 25th Annual Putnam County Spelling Bee - Finn/Sheinkin/Reiss,theater_fandoms
12,Les 3 Mousquetaires - Castelli/Florence & Guirao/Cyr & Champagne,theater_fandoms
13,3 Musketiers - Bolland/Bolland,theater_fandoms
14,35mm: A Musical Exhibition - Oliver & Murphy,theater_fandoms
15,The 39 Steps - Barlow,theater_fandoms
16,The 39 Steps: A Live Radio Play - Landry,theater_fandoms
17,4.48 Psychosis - Kane,theater_fandoms
18,'40-'45 - Tura & Willaert/Blom/Van Laecke & Blom,theater_fandoms
19,7 Divines ASMR Series - Siren's Son ASMR,theater_fandoms
20,9 to 5 the Musical - Parton/Resnick,theater_fandoms
21,천사에 관하여 - 이아람/이희준 | About Angels - Lee Aram/Lee Hee-joon,theater_fandoms
22,Abraham Lincoln's Big Gay Dance Party - Loeb,theater_fandoms
23,Abused Demi Human Milo Series - MundaneFable,theater_fandoms
24,Actress Series - Foster Audios,theater_fandoms
25,Adam et Ève la Seconde Chance - Obispo/Duprez,theater_fandoms
26,Adamandi - Valentine Lee/Valentine Lee & Hornyak,theater_fandoms
27,The Adams Arc - Shapera,theater_fandoms
28,The Addams Family - Lippa/Brickman & Elice,theater_fandoms
29,Afram Latibær! | Go LazyTown! - Scheving (Plays),theater_fandoms
30,Against The World - Escaped Audios,theater_fandoms
31,Against Woman & Music! - McLean/Douglas,theater_fandoms
32,ᐊᒡᓗ | Aglu | The Breathing Hole - Murphy,theater_fandoms
33,Aida - John/Rice/Woolverton & Falls & Hwang,theater_fandoms
34,Aida - Verdi/Ghislanzoni,theater_fandoms
35,Αίας - Σοφοκλής | Ajax - Sophocles,theater_fandoms
36,悪を以って愛と成す - 萩原 | Aku wo Motte Ai to Nasu - Hagiwara,theater_fandoms
37,Al Capone - Lalanne,theater_fandoms
38,Aladdin - Menken/Ashman,theater_fandoms
39,Aladdin Jr. - Menken/Ashman & Rice & Beguelin/Beguelin,theater_fandoms
40,Alegría - Cirque du Soleil,theater_fandoms
41,Alice - Wade,theater_fandoms
42,Alice by Heart - Sheik/Sater/Sater & Nelson,theater_fandoms
43,Alice's Adventures in Wonderland - Wheeldon,theater_fandoms
44,Alice's Lover - Takarazuka Revue,theater_fandoms
45,The Aliens - Baker,theater_fandoms
46,Всё о Золушке - Паулс/Быков и Плотов | All About Cinderella - Pauls/Bykov & Plotov,theater_fandoms
47,All About Eve - Mankiewicz,theater_fandoms
48,All for One - Takarazuka Revue,theater_fandoms
49,All My Sons - Miller,theater_fandoms
50,All Shook Up - Presley/DiPietro,theater_fandoms
51,All's Well That Ends Well - Shakespeare,theater_fandoms
52,Allegiance - Kuo/Acito/Thione,theater_fandoms
53,Altar Boyz - Adler/Walker/Del Aguila,theater_fandoms
54,Amadeus - Shaffer,theater_fandoms
55,Amaluna - Cirque du Soleil,theater_fandoms
56,Amélie - Messé/Tysen/Lucas,theater_fandoms
57,American Idiot - Green Day/Armstrong,theater_fandoms
58,An American in Paris - Gershwin/Lucas,theater_fandoms
59,L'amico Fritz - Mascagni/Suardon,theater_fandoms
60,Amongst Barbarians - Wall,theater_fandoms
61,The Amulet Series - Extrovert ED,theater_fandoms
62,Обыкновенное чудо — Гладков/Ким/Шварц | An Ordinary Miracle — Gladkov/Kim/Schwartz,theater_fandoms
63,Anastasia - Flaherty/Ahrens/McNally,theater_fandoms
64,Anastasia - Maurette,theater_fandoms
65,והסושי חינם | And the Sushi's Free - ACMusical,theater_fandoms
66,And Then There Were None - Christie (Play 1943),theater_fandoms
67,अंधा युग - भारती | Andha Yug - Bharati,theater_fandoms
68,Andrea Chénier - Giordano/Illica,theater_fandoms
69,Androcles and the Lion - Shaw,theater_fandoms
70,Andromaque - Racine,theater_fandoms
71,Angels in America - Kushner,theater_fandoms
72,Ani: A Parody - Team StarKid,theater_fandoms
73,Anna Karenina - Takarazuka Revue,theater_fandoms
74,Annie - Strouse/Charnin/Meehan,theater_fandoms
75,Annie Get Your Gun - Berlin/Fields,theater_fandoms
76,Another Country - Julian Mitchell,theater_fandoms
77,Another World - Takarazuka Revue,theater_fandoms
78,Antigone - Anouilh,theater_fandoms
79,Antony and Cleopatra - Shakespeare,theater_fandoms
80,Anything For You - Allen,theater_fandoms
81,Anything Goes - Porter,theater_fandoms
82,Apologia - Campbell,theater_fandoms
83,Arcadia - Stoppard,theater_fandoms
84,Ariadne auf Naxos - Strauss/Hofmannsthal,theater_fandoms
85,Ariane et Barbe-Bleue - Dukas/Maeterlinck,theater_fandoms
86,Aristos: the Musical - Muse Lee,theater_fandoms
87,Ark 5 - Asher,theater_fandoms
88,Arms and the Man - Shaw,theater_fandoms
89,Arranged Marriage Series - Desmond ASMR,theater_fandoms
90,Arsenic and Old Lace - Kesselring,theater_fandoms
91,Art - Reza,theater_fandoms
92,The Art of Pleasing Princes - Lee/Hornyak,theater_fandoms
93,Artaserse - Pietro Metastasio,theater_fandoms
94,Artus-Excalibur - Wildhorn/Lerner/Menchell,theater_fandoms
95,As You Like It - Shakespeare,theater_fandoms
96,Ascunion - Eisenberg,theater_fandoms
97,Ashwood Grove - Will o' the Wisp Audio,theater_fandoms
98,ASMR Celebrity Personal Assistant Series | Valley Girl Series - Goodnight Moon,theater_fandoms
99,ASMR Crown Prince Teaches You to Dance at Royal Ball - Jimち ASMR | JimChi ASMR,theater_fandoms
100,ASMR Male Spider Yandere - Dark and Twisted Whisper,theater_fandoms
101,ASMR Mean Popular Girl Gives You a Makeover - Goodnight Moon,theater_fandoms
102,ASMR Soviet Interrogation Cold War Spy Roleplay - Jimち ASMR | JimChi ASMR,theater_fandoms
103,Assassins - Sondheim/Weidman,theater_fandoms
104,刺秦 - 徒有琴 | Assassins - Tú Yǒuqín,theater_fandoms
105,Aterui - Takarazuka Revue,theater_fandoms
106,Atlantis - Spies/Høg & Svanekier,theater_fandoms
107,An Atompunk Opera: The New Albion Guide to Analogue Consciousness - Shapera,theater_fandoms
108,The Atrocity Series - Scythe Audio,theater_fandoms
109,Attila - Verdi/Solera,theater_fandoms
110,Auld England Series - Jimち ASMR | JimChi ASMR,theater_fandoms
111,Av. Larco: El Musical - Tondero Producciones,theater_fandoms
112,Avenue Jew - Lopez/Marx,theater_fandoms
113,Avenue Q - Lopez/Marx,theater_fandoms
114,Axel Series - Reverie Audios,theater_fandoms
115,瑠璃色の刻 | Azure Moment - Takarazuka Revue,theater_fandoms
116,Babblebrook Series - Goodnight Moon,theater_fandoms
117,Bacchae - Euripides,theater_fandoms
118,Back to Back - Asai,theater_fandoms
119,Back to the 80s - Various/Various/Gooding & Smith,theater_fandoms
120,Back to the Future: The Musical - Silvestri & Ballard/Gale & Zemeckis,theater_fandoms
121,Bad Auditions by Bad Actors - McWethy,theater_fandoms
122,Bad Cinderella - Lloyd Webber,theater_fandoms
123,Bad Queers: The Musical - Stump,theater_fandoms
124,BADDY - Takarazuka Revue,theater_fandoms
125,The Ballad of Lost Hollow - Shapera,theater_fandoms
126,Balladyna - Słowacki,theater_fandoms
127,Un Ballo in Maschera | A Masked Ball - Verdi/Somma,theater_fandoms
128,The Band's Visit - Yazbek/Moses,theater_fandoms
129,Bandstand - Oberacker/Oberacker & Taylor,theater_fandoms
130,蛮幽鬼 - 中島かずき | Banyuuki - Nakashima Kazuki,theater_fandoms
131,Bara no Fuuin | Seal of Roses - Takarazuka Revue,theater_fandoms
132,Il barbiere di Siviglia | The Barber of Seville - Rossini/Sterbini,theater_fandoms
133,bare: A Pop Opera - Hartmere/Intrabartolo,theater_fandoms
134,Barnum - Coleman/Stewart/Bramble,theater_fandoms
135,Bartender x Listener. A Spicy Late Night Out~? - Azeru Official,theater_fandoms
136,Baskerville: A Sherlock Holmes Mystery - Ludwig,theater_fandoms
137,Bastards VS Zombies! - Good Boy Audios,theater_fandoms
138,Bat Boy: The Musical - O'Keefe/Farley/Flemming,theater_fandoms
139,Bat Out Of Hell: The Musical - Steinman,theater_fandoms
140,La Bayadère,theater_fandoms
141,Be More Chill - Iconis/Tracz,theater_fandoms
142,Медведь - Чехов | The Bear - Chekhov,theater_fandoms
143,Beast of Charity - West Ferris Theatre Group,theater_fandoms
144,The Beatles LOVE - Cirque du Soleil,theater_fandoms
145,Beautiful: The Carole King Musical - King & Various/McGrath,theater_fandoms
146,Beauty and the Beast - Menken/Ashman & Rice/Woolverton,theater_fandoms
147,Becket - Anouilh,theater_fandoms
148,Becoming Nancy - Stiles/Drewe/Davis,theater_fandoms
149,Beetlejuice - Perfect/Brown & King,theater_fandoms
150,The Beggar's Opera - Pepusch/Gay,theater_fandoms
151,Beirut - Browne,theater_fandoms
152,The Belle's Stratagem - Cowley,theater_fandoms
153,Bells are Ringing - Styne/Comden & Green,theater_fandoms
154,Beloved King: A Queer Bible Musical - Sylvan,theater_fandoms
155,Ben and Imo - Ravenhill,theater_fandoms
156,Benedikt Búálfur - Þorvaldsson/Gylfadóttir/Guðlaugsson,theater_fandoms
157,Bent - Sherman,theater_fandoms
158,Der Besuch der alten Dame | The Visit - Dürrenmatt,theater_fandoms
159,Der Besuch der alten Dame | The Visit - Schneider & Reed/Hofer/Struppeck,theater_fandoms
160,Betrayal - Pinter,theater_fandoms
161,Betweenity - Price,theater_fandoms
162,The Big BOOM Theory - Gold Fever Follies,theater_fandoms
163,Billy Budd - Britten/Forster & Crozier,theater_fandoms
164,Billy Elliot: The Musical - Elton John/Hall,theater_fandoms
165,Birmingham Hippodrome Robin Hood Pantomine,theater_fandoms
166,The Birthday Party - Pinter,theater_fandoms
167,Bishoujo Senshi Sailor Moon | Pretty Guardian Sailor Moon,theater_fandoms
168,Bishoujo Senshi Sailor Moon | Pretty Guardian Sailor Moon (Musicals),theater_fandoms
169,Bittersummer: A New Musical - Emerick & The Brother Brothers/Smith,theater_fandoms
170,BitterSweet Series - YuuriVoice,theater_fandoms
171,Black Coffee - Christie,theater_fandoms
172,Black Mary Poppins - 서윤미 | Seo Younmi,theater_fandoms
173,The Black Suits - Iconis,theater_fandoms
174,Black Watch - Gregory Burke,theater_fandoms
175,Blazing Guns at Roaring Gulch - Fendrich,theater_fandoms
176,Blithe Spirit - Coward,theater_fandoms
177,Blood Brothers - Russell,theater_fandoms
178,Bloody Bloody Andrew Jackson - Friedman/Timbers,theater_fandoms
179,Blue Infinity Series - Escaped Audios,theater_fandoms
180,La bohème - Puccini/Illica/Giacosa,theater_fandoms
181,The Bold the Young and the Murdered - Zolidis,theater_fandoms
182,Bonnie & Clyde - Wildhorn/Black/Menchell,theater_fandoms
183,The Book of Mormon - Parker/Stone/Lopez,theater_fandoms
184,Born With Teeth - Adams,theater_fandoms
185,Boss Series - YuuriVoice,theater_fandoms
186,The Boys in the Band - Crowley (Broadway 2018),theater_fandoms
187,The Brat Pack - For The Record,theater_fandoms
188,Brigadoon - Loewe/Lerner,theater_fandoms
189,Bright Lights Big City - Goodman,theater_fandoms
190,Bright Star - Brickell/Martin,theater_fandoms
191,Bring It On - Miranda & Kitt/Green & Miranda/Whitty,theater_fandoms
192,Broadway Whodunit: All Hallows' Eve - Feldman,theater_fandoms
193,Broadway Whodunit: Escape From Camp Eerie - Feldman,theater_fandoms
194,Broadway Whodunit: Murder at Montgomery Manor - Feldman,theater_fandoms
195,断桥 - 祁/田 | The Broken Bridge - Qí/Tián,theater_fandoms
196,Bromance: The Dudesical - Ewalt/Walker & Ewalt/Walker,theater_fandoms
197,A Bronx Tale - Menken/Slater/Palminteri,theater_fandoms
198,Brooklynite - Lerman/Lerman & Mayer,theater_fandoms
199,브라더스 까라마조프 - 이진욱/김경주 | The Brothers Karamazov - Lee Jin Wook/Kim Kyung Ju,theater_fandoms
200,カラマーゾフの兄弟 | The Brothers Karamazov - Takarazuka Revue,theater_fandoms
201,The Browning Version - Rattigan,theater_fandoms
202,Bull Man Series - Siren's Son ASMR,theater_fandoms
203,Buried Child - Shepherd,theater_fandoms
204,Burn This - Wilson,theater_fandoms
205,The Burnt City - Punchdrunk,theater_fandoms
206,The Burnt Part Boys - Miller/Tysen/Elder,theater_fandoms
207,梁山伯与祝英台 | Butterfly Lovers (Opera),theater_fandoms
208,Bye Bye Birdie - Stewart/Adams/Strouse,theater_fandoms
209,Cabaret - Kander/Ebb,theater_fandoms
210,La Cage aux Folles - Herman/Fierstein,theater_fandoms
211,The Caine Mutiny Court-Martial - Wouk,theater_fandoms
212,Calamity Jane - Fain/Webster/Hanmer & Park,theater_fandoms
213,Caligula - Camus,theater_fandoms
214,Camelot - Loewe/Lerner,theater_fandoms
215,Canaria - Takarazuka Revue,theater_fandoms
216,La Cantatrice chauve | The Bald Soprano - Ionesco,theater_fandoms
217,Le capitaliste - Cros,theater_fandoms
218,CAPTAIN NEMO - Takarazuka Revue,theater_fandoms
219,The Car Man - Bourne,theater_fandoms
220,The Caretaker - Pinter,theater_fandoms
221,Carmen - Bizet/Halévy & Meilhac,theater_fandoms
222,Carnival! - Merrill/Stewart,theater_fandoms
223,Carousel - Rodgers/Hammerstein,theater_fandoms
224,Carrie: The Musical - Gore/Pritchard/Cohen,theater_fandoms
225,La casa de Bernarda Alba | The House of Bernarda Alba - García Lorca,theater_fandoms
226,Casanova - Takarazuka Revue,theater_fandoms
227,The Castle - 김승진 & 허수현/김선미 | Kim Seungjin & and Heo Suhyun/Kim Sunmi,theater_fandoms
228,Cat on a Hot Tin Roof - Williams,theater_fandoms
229,Catch Me If You Can - Shaiman/Wittman/McNally,theater_fandoms
230,Cats - Andrew Lloyd Webber,theater_fandoms
231,Cavalleria rusticana - Mascagni/Targioni-Tozzetti & Menasci,theater_fandoms
232,La Cenerentola - Rossini/Ferretti,theater_fandoms
233,チェーザレ 破壊の創造者 - 島/荻田 | Cesare: Il Creatore che ha distrutto - Shima/Ogita,theater_fandoms
234,CHaCK-UP ~The Targeted Planet~ - 亀田 | Kameda,theater_fandoms
