,0,1
0,#IDARB (Video Game),videogames_fandoms
1,1-2-Switch (Video Game),videogames_fandoms
2,10 Billion Husbands (Video Game),videogames_fandoms
3,10 Billion Wives (Video Game),videogames_fandoms
4,10 Days With My Devil (Video Game),videogames_fandoms
5,100万トンのバラバラ | 100-Man Ton no Barabara | Patchwork Heroes (Video Game),videogames_fandoms
6,1000xResist (Video Game),videogames_fandoms
7,101 Dalmatians: Escape from DeVil Manor (Video Game 1997),videogames_fandoms
8,1080° Snowboarding (Video Games),videogames_fandoms
9,12 Hours To Die (Visual Novel),videogames_fandoms
10,12 Locks (Video Game),videogames_fandoms
11,123 Slaughter Me Street,videogames_fandoms
12,13 Days in Hell (Video Game),videogames_fandoms
13,十三機兵防衛圏 | 13 Sentinels: Aegis Rim (Video Game),videogames_fandoms
14,14 Days With You (Visual Novel),videogames_fandoms
15,18TRIP (Video Game),videogames_fandoms
16,1931: Scheherazade at the Library of Pergamum,videogames_fandoms
17,1BeatHeart (Video Game),videogames_fandoms
18,1bitHeart (Video Game),videogames_fandoms
19,1st Degree (Visual Novel),videogames_fandoms
20,20 Minutes Till Dawn (Video Game),videogames_fandoms
21,2048 (Video Game),videogames_fandoms
22,2064: Read Only Memories (Video Game),videogames_fandoms
23,20XX (Video Game),videogames_fandoms
24,24 Killers (Video Game),videogames_fandoms
25,24時君のハートは盗まれる | Your Heart Will be Stolen at the 24th Hour (Visual Novel),videogames_fandoms
26,2D Knockout (Video Game),videogames_fandoms
27,3 out of 10 (Video Game),videogames_fandoms
28,3-D Dinosaur Adventure (Video Game 1993),videogames_fandoms
29,300大作战 | 300 Glamorous Heroes (Video Games),videogames_fandoms
30,3Dカスタム少女 | 3D Custom Girl (Video Game),videogames_fandoms
31,3D Monster Maze (Video Game 1981),videogames_fandoms
32,428 ～封鎖された渋谷で～ | 428: Fuusa Sareta Shibuya de | 428: Shibuya Scramble (Video Game),videogames_fandoms
33,4thewords (Video Game),videogames_fandoms
34,60 Parsecs! (Video Game),videogames_fandoms
35,60 Seconds! (Video Game),videogames_fandoms
36,7 Brothers (Romance Club Visual Novel),videogames_fandoms
37,7 Days to Die (Video Game),videogames_fandoms
38,7 Days: Decide Your Story (Video Game),videogames_fandoms
39,7 years from now (Video Game),videogames_fandoms
40,7'Scarlet (Visual Novel),videogames_fandoms
41,77 Oleander Avenue Ghost House Investigation (Visual Novel),videogames_fandoms
42,7th Dragon (Video Game),videogames_fandoms
43,The 7th Guest (Video Game 1993),videogames_fandoms
44,8 Ball Pool (Miniclip Video Game),videogames_fandoms
45,8-Colors Star Guardians + (Video Game),videogames_fandoms
46,8:11 (dubuk Video Game),videogames_fandoms
47,80 Days (Video Game 2014),videogames_fandoms
48,9 R.I.P. (Visual Novel),videogames_fandoms
49,9:22 (Visual Novel),videogames_fandoms
50,911 Operator (Video Game),videogames_fandoms
51,A Short Hike (Video Game),videogames_fandoms
52,a2 ~a due~,videogames_fandoms
53,A3! (Video Game),videogames_fandoms
54,AbalaBurn,videogames_fandoms
55,Abiotic Factor (Video Game),videogames_fandoms
56,Absolutely: A True Crime Story (Video Game),videogames_fandoms
57,Absolution: Way of the Lost (Visual Novel),videogames_fandoms
58,Absolver (Video Game),videogames_fandoms
59,Abzû (Video Game),videogames_fandoms
60,Academagia (Video Game),videogames_fandoms
61,Accel World,videogames_fandoms
62,Accel World vs. Sword Art Online: Millennium Twilight (Video Game),videogames_fandoms
63,ACE Academy (Visual Novel),videogames_fandoms
64,Ace Combat (Video Games),videogames_fandoms
65,王牌战士 | Ace Force (Video Game),videogames_fandoms
66,Acid Bunny (Video Games),videogames_fandoms
67,Aconite (MELCO Video Game),videogames_fandoms
68,Acquittal: Induction (Visual Novel),videogames_fandoms
69,Across the Obelisk (Video Game),videogames_fandoms
70,Across the Void (Visual Novel),videogames_fandoms
71,Action Taimanin (Video Game),videogames_fandoms
72,ActRaiser (Video Games),videogames_fandoms
73,Adam Wolfe (Video Game),videogames_fandoms
74,Adastra (Visual Novel),videogames_fandoms
75,The Adelaide Inn (NTRMAN Video Game),videogames_fandoms
76,Adonia AI (Video Game),videogames_fandoms
77,Advance Wars (Video Games 2001-2005; 2023),videogames_fandoms
78,Advance Wars: Days of Ruin (Video Game),videogames_fandoms
79,Advanced Education With Viktor Strobovski (Video Game),videogames_fandoms
80,Adventure (Video Game 1980),videogames_fandoms
81,Adventure Bar Story (Video Game),videogames_fandoms
82,AdVenture Capitalist (Hyper Hippo Entertainment Video Game),videogames_fandoms
83,Adventure Escape Mysteries (Haiku Games Video Games),videogames_fandoms
84,Adventure Forward Series (Roblox),videogames_fandoms
85,AdventureQuest,videogames_fandoms
